ori,agency_name,state_name,latitude,longitude,population,city_name,weapon_increase,firearm_increase,2019,2021,perc_21_19,perc_abs,incdec
WI0450000,Outagamie County Sheriff's Office,Wisconsin,44.258904,-88.412056,51594,APPLETON,0,0,0,0,#DIV/0!,infinite,increase
AR0720200,Springdale Police Department,Arkansas,36.18645,-94.12982,85234,SPRINGDALE,0,0,,39,#DIV/0!,infinite,increase
CO0180100,Castle Rock Police Department,Colorado,39.37022,-104.85867,73221,CASTLE ROCK,1,0,0,0,#DIV/0!,infinite,increase
CT0005700,Greenwich Police Department,Connecticut,41.025414,-73.62489,62917,GREENWICH,0,0,0,0,#DIV/0!,infinite,increase
IA0770500,West Des Moines Police Department,Iowa,41.684281,-93.56972,70414,WEST DES MOINES,0,0,,11,#DIV/0!,infinite,increase
IN0320000,Hendricks County Sheriff's Office,Indiana,39.768749,-86.510286,74157,DANVILLE,0,0,,11,#DIV/0!,infinite,increase
IN0530100,Bloomington Police Department,Indiana,39.164577,-86.53207,86118,BLOOMINGTON,1,1,0,52,#DIV/0!,infinite,increase
INIPD0000,Indianapolis Police Department,Indiana,39.76786,-86.15264,895826,INDIANAPOLIS,1,1,0,1763,#DIV/0!,infinite,increase
KY0930400,Oldham County Police Department,Kentucky,38.41098,-85.461105,57112,LA GRANGE,1,0,0,0,#DIV/0!,infinite,increase
MA0052500,Peabody Police Department,Massachusetts,42.521538,-70.939514,53669,PEABODY,1,1,0,13,#DIV/0!,infinite,increase
MA0094700,Waltham Police Department,Massachusetts,42.481711,-71.394917,62693,WALTHAM,0,1,0,3,#DIV/0!,infinite,increase
MA0110400,Brookline Police Department,Massachusetts,42.333908,-71.12126,59748,BROOKLINE,0,1,0,1,#DIV/0!,infinite,increase
MN0270300,Brooklyn Park Police Department,Minnesota,45.10883,-93.34976,79946,BROOKLYN PARK,0,0,,66,#DIV/0!,infinite,increase
NB0770000,Sarpy County Sheriff's Office,Nebraska,41.115064,-96.109125,102658,PAPILLION,1,0,0,0,#DIV/0!,infinite,increase
OH0314400,Green Township Police Department,Ohio,39.196927,-84.544187,59115,,1,1,0,12,#DIV/0!,infinite,increase
OR0020100,Corvallis Police Department,Oregon,44.493882,-123.424664,59585,CORVALLIS,1,1,0,2,#DIV/0!,infinite,increase
GA1070000,Newton County Sheriff's Office,Georgia,33.544065,-83.855192,96133,COVINGTON,1,1,3,113,3666.666667,3666.666667,increase
CO0300400,Lakewood Police Department,Colorado,39.708225,-105.08569,158977,LAKEWOOD,1,1,15,150,900,900,increase
TX0430800,Wylie Police Department,Texas,33.02303,-96.51876,55889,WYLIE,1,1,1,9,800,800,increase
MT0160100,Bozeman Police Department,Montana,45.535559,-111.173443,52586,BOZEMAN,1,1,2,17,750,750,increase
MI5915900,Montcalm County Sheriff's Office,Michigan,43.30014,-85.084816,50714,STANTON,1,1,1,8,700,700,increase
IN0710000,St. Joseph County Sheriff's Office,Indiana,41.66508,-86.25508,110913,SOUTH BEND,1,1,3,22,633.3333333,633.3333333,increase
MO0100200,Columbia Police Department,Missouri,38.989657,-92.310779,126418,COLUMBIA,1,1,17,123,623.5294118,623.5294118,increase
CT0013500,Stamford Police Department,Connecticut,41.060837,-73.53756,132292,STAMFORD,1,1,3,20,566.6666667,566.6666667,increase
WI0560000,St. Croix County Sheriff's Office,Wisconsin,45.028959,-92.447284,56967,HUDSON,1,1,1,6,500,500,increase
IA0520200,Iowa City Police Department,Iowa,41.660053,-91.52996,77522,IOWA CITY,1,1,5,29,480,480,increase
OH0314200,Colerain Township Police Department,Ohio,39.24491,-84.60994,59223,CINCINNATI,1,1,5,28,460,460,increase
NC0680100,Chapel Hill Police Department,North Carolina,35.92805,-79.05418,64388,CHAPEL HILL,1,1,3,16,433.3333333,433.3333333,increase
MI6381500,West Bloomfield Township Police Department,Michigan,42.660452,-83.38421,65720,WEST BLOOMFIELD,1,1,2,10,400,400,increase
MO0920300,St. Charles Police Department,Missouri,38.774826,-90.527084,72323,SAINT CHARLES,1,1,7,35,400,400,increase
