ori,2019,2020,2021,2019_pop,2020_pop,2021_pop,2019pc,2020pc,2021pc,perc_21_19,perc_pc_21_19
AR0040100,398.0,438.0,467.0,53434,57575.0,60329,0.007448441067485122,0.007607468519322622,0.007740887467055645,1.1733668341708543,1.0392627661172145
AR0040200,852.0,740.0,699.0,69168,70194.0,72122,0.012317834836918807,0.010542211585035759,0.00969191092870414,0.8204225352112676,0.7868193604655023
AR0160100,1577.0,1762.0,1678.0,78261,79702.0,81208,0.02015052197135227,0.022107349878296656,0.020662988868091814,1.0640456563094483,1.025431941538195
AR0230100,1243.0,1240.0,1308.0,67336,68599.0,69018,0.018459664963763812,0.01807606524876456,0.018951577849256714,1.0522928399034595,1.026647985565205
AR0260000,518.0,472.0,433.0,61975,60870.0,60542,0.00835820895522388,0.007754230326926236,0.007152059727131578,0.8359073359073359,0.8556928602103853
AR0600200,8373.0,8557.0,9219.0,198382,197688.0,198260,0.04220645018197215,0.0432853789810206,0.04649954605064057,1.1010390541024722,1.1017165824218533
AR0600300,1027.0,1308.0,1332.0,66604,66303.0,66677,0.015419494324665186,0.01972761413510701,0.01997690357994511,1.296981499513145,1.2955615248672483
AR0630000,402.0,420.0,333.0,52711,53142.0,52870,0.007626491624139174,0.007903353279891612,0.006298467940230755,0.8283582089552238,0.8258670238743863
AR0660100,2173.0,2596.0,2581.0,88041,88071.0,87912,0.02468168239797367,0.029476218051344937,0.02935890435890436,1.1877588587206627,1.1895017481188672
AR0720100,1347.0,1508.0,1530.0,88500,89252.0,91309,0.015220338983050847,0.016895979922018554,0.016756289084318084,1.135857461024499,1.1009143162302528
AZ0071100,1423.0,1725.0,1855.0,253619,259629.0,272941,0.005610778372282833,0.0066440959985209665,0.006796340601082285,1.303583977512298,1.211300848141875
AZ0110100,412.0,802.0,786.0,58366,59822.0,62566,0.007058904156529486,0.013406439102671258,0.012562733753156667,1.9077669902912622,1.7797002869823837
AZ0140000,570.0,591.0,632.0,61429,62278.0,54510,0.009279005030197464,0.009489707440829828,0.011594202898550725,1.1087719298245613,1.2495092804474954
AZ0140500,866.0,868.0,795.0,98769,99096.0,100710,0.00876793325841104,0.008759183014450634,0.007893952934167411,0.918013856812933,0.9003208283542506
CO0010000,895.0,863.0,984.0,100624,100575.0,93869,0.00889449833041819,0.008580661198110863,0.010482693967124397,1.0994413407821229,1.1785593270926542
CO0010100,5520.0,5754.0,6273.0,380600,385720.0,393897,0.014503415659485024,0.014917556776936639,0.015925483057753678,1.1364130434782609,1.0980505166270016
CO0010300,498.0,468.0,655.0,60198,62164.0,60845,0.008272700089703976,0.007528473071230938,0.010765058755855041,1.3152610441767068,1.3012751144276342
CO0010400,1461.0,1466.0,1638.0,142168,144156.0,151324,0.010276574193911429,0.010169538555453814,0.010824456133858476,1.1211498973305956,1.0533136753171743
CO0010500,748.0,654.0,1035.0,114392,113941.0,115942,0.0065389188055108745,0.0057398127100868,0.008926877231719308,1.3836898395721926,1.3651916314048598
CO0030000,418.0,582.0,523.0,98905,97489.0,89396,0.004226277741266872,0.0059699042968950344,0.005850373618506421,1.2511961722488039,1.3842851740152575
CO0031100,485.0,426.0,505.0,112129,112104.0,111199,0.004325375237449723,0.0038000428173838577,0.00454140774647254,1.041237113402062,1.0499453798025142
CO0070000,236.0,226.0,271.0,58601,57217.0,56230,0.00402723503011894,0.003949875037139312,0.004819491374711008,1.1483050847457628,1.196724635802711
CO0070100,826.0,886.0,878.0,108519,106598.0,108698,0.007611570324090712,0.008311600592881668,0.008077425527608604,1.062953995157385,1.061203560327552
CO0070400,916.0,975.0,1024.0,97928,98545.0,99714,0.009353810963156605,0.009893957075447764,0.010269370399342118,1.1179039301310043,1.0978809000728984
CO0180000,717.0,779.0,877.0,207458,210945.0,213896,0.003456121238997773,0.0036929057337220603,0.004100123424467966,1.2231520223152021,1.1863366881356698
CO0180100,263.0,277.0,253.0,67208,71150.0,73221,0.0039132246161171285,0.003893183415319747,0.003455292880457792,0.9619771863117871,0.8829784179080126
CO0180500,186.0,182.0,238.0,57050,59245.0,60178,0.0032602979842243644,0.0030719891974006247,0.003954933696699791,1.2795698924731183,1.213058964498511
CO0210000,993.0,1002.0,1165.0,193731,192152.0,190502,0.005125663936076312,0.005214621757775094,0.006115421360405665,1.1732124874118832,1.193098384262588
CO0210100,4074.0,4392.0,4234.0,479648,485083.0,488747,0.00849372873440523,0.009054120635025345,0.00866296877525591,1.039273441335297,1.0199252938424024
CO0300000,548.0,816.0,1213.0,199152,199169.0,193451,0.0027516670683698885,0.004097023131109761,0.006270321683527095,2.2135036496350367,2.2787355910908538
CO0300100,591.0,593.0,608.0,122312,122983.0,123548,0.004831905291385964,0.004821804639665645,0.0049211642438566384,1.0287648054145515,1.0184728274020187
CO0300400,217.0,2109.0,2129.0,158645,159719.0,158977,0.0013678338428566926,0.013204440298273843,0.013391874296281851,9.811059907834101,9.790570957297854
CO0350000,366.0,335.0,412.0,84386,85371.0,86763,0.0043372123337994456,0.003924049150179803,0.0047485679379458984,1.1256830601092895,1.0948433169713185
CO0350300,1018.0,896.0,1178.0,170889,173274.0,170744,0.005957083252871747,0.00517100084259612,0.006899217542051258,1.157170923379175,1.158153621359133
CO0350400,563.0,480.0,531.0,78856,80302.0,85349,0.007139596226032261,0.005977435182187243,0.006221514018910591,0.9431616341030196,0.8714097859240028
CO0390000,575.0,609.0,634.0,72050,72440.0,71975,0.007980569049271339,0.008406957482054113,0.008808614102118792,1.102608695652174,1.1037576453176678
CO0390100,709.0,843.0,915.0,63949,64149.0,63928,0.011086959921187196,0.013141280456437357,0.01431297709923664,1.2905500705218618,1.2909740091947588
CO0510000,188.0,150.0,289.0,55466,55372.0,55231,0.0033894638156708613,0.0027089503720291843,0.005232568666147634,1.5372340425531914,1.543774753385876
CO0510100,1151.0,1467.0,1575.0,112381,113002.0,113371,0.010241944812735248,0.012982071113785597,0.01389244162969366,1.368375325803649,1.3564261362177266
CO0620000,411.0,484.0,420.0,49530,48704.0,51700,0.008298001211387037,0.009937582128777924,0.008123791102514507,1.0218978102189782,0.979005774470909
CO0620200,1022.0,1145.0,1162.0,109255,110505.0,110660,0.009354262962793465,0.010361522103072259,0.010500632568227001,1.1369863013698631,1.1225505002364393
CO0640100,244.0,244.0,239.0,70798,71795.0,73077,0.0034464250402553745,0.003398565359704715,0.003270522873133818,0.9795081967213115,0.948960976934951
