ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
AR0040100,Bentonville Police Department,7,13,5,1,1.857142857,0.714285714
AR0040200,Rogers Police Department,41,22,29,1,0.536585366,0.707317073
AR0160100,Jonesboro Police Department,81,106,99,1,1.308641975,1.222222222
AR0230100,Conway Police Department,46,56,59,1,1.217391304,1.282608696
AR0260000,Garland County Sheriff's Office,14,29,35,1,2.071428571,2.5
AR0600200,Little Rock Police Department,583,869,1049,1,1.490566038,1.799313894
AR0600300,North Little Rock Police Department,115,185,220,1,1.608695652,1.913043478
AR0630000,Saline County Sheriff's Office,19,27,25,1,1.421052632,1.315789474
AR0660100,Fort Smith Police Department,92,144,163,1,1.565217391,1.77173913
AR0720100,Fayetteville Police Department,46,77,86,1,1.673913043,1.869565217
AR0720200,Springdale Police Department,,,39,#DIV/0!,#DIV/0!,#DIV/0!
AZ0071100,Gilbert Police Department,41,40,51,1,0.975609756,1.243902439
AZ0110100,Casa Grande Police Department,15,49,51,1,3.266666667,3.4
AZ0140000,Yuma County Sheriff's Office,14,21,33,1,1.5,2.357142857
AZ0140500,Yuma Police Department,40,78,63,1,1.95,1.575
CO0010000,Adams County Sheriff's Office,83,122,173,1,1.469879518,2.084337349
CO0010100,Aurora Police Department,393,637,852,1,1.62086514,2.167938931
CO0010300,Commerce City Police Department,47,61,109,1,1.29787234,2.319148936
CO0010400,Thornton Police Department,16,20,23,1,1.25,1.4375
CO0010500,Westminster Police Department,45,50,72,1,1.111111111,1.6
CO0030000,Arapahoe County Sheriff's Office,15,63,47,1,4.2,3.133333333
CO0031100,Centennial Police Department,13,22,26,1,1.692307692,2
CO0070000,Boulder County Sheriff's Office,18,10,18,1,0.555555556,1
CO0070100,Boulder Police Department,24,22,29,1,0.916666667,1.208333333
CO0070400,Longmont Police Department,60,53,75,1,0.883333333,1.25
CO0180000,Douglas County Sheriff's Office,45,71,63,1,1.577777778,1.4
CO0180100,Castle Rock Police Department,0,1,0,#DIV/0!,#DIV/0!,#DIV/0!
CO0180500,Parker Police Department,9,10,11,1,1.111111111,1.222222222
CO0210000,El Paso County Sheriff's Office,87,107,127,1,1.229885057,1.459770115
CO0210100,Colorado Springs Police Department,474,618,583,1,1.303797468,1.229957806
CO0300000,Jefferson County Sheriff's Office,15,28,55,1,1.866666667,3.666666667
CO0300100,Arvada Police Department,37,38,60,1,1.027027027,1.621621622
CO0300400,Lakewood Police Department,15,104,150,1,6.933333333,10
CO0350000,Larimer County Sheriff's Office,26,21,26,1,0.807692308,1
CO0350300,Fort Collins Police Department,29,40,31,1,1.379310345,1.068965517
CO0350400,Loveland Police Department,22,21,29,1,0.954545455,1.318181818
CO0390000,Mesa County Sheriff's Office,17,28,33,1,1.647058824,1.941176471
CO0390100,Grand Junction Police Department,42,60,56,1,1.428571429,1.333333333
