ori,,2019,2021,perc_21_19
AR0040100,Bentonville Police Department,7.0,5.0,0.7142857142857143
AR0040200,Rogers Police Department,41.0,29.0,0.7073170731707317
AR0160100,Jonesboro Police Department,81.0,99.0,1.2222222222222223
AR0230100,Conway Police Department,46.0,59.0,1.2826086956521738
AR0260000,Garland County Sheriff's Office,14.0,35.0,2.5
AR0600200,Little Rock Police Department,583.0,1049.0,1.7993138936535162
AR0600300,North Little Rock Police Department,115.0,220.0,1.9130434782608696
AR0630000,Saline County Sheriff's Office,19.0,25.0,1.3157894736842106
AR0660100,Fort Smith Police Department,92.0,163.0,1.7717391304347827
AR0720100,Fayetteville Police Department,46.0,86.0,1.8695652173913044
AR0720200,Springdale Police Department,,39.0,
AZ0071100,Gilbert Police Department,41.0,51.0,1.2439024390243902
AZ0110100,Casa Grande Police Department,15.0,51.0,3.4
AZ0140000,Yuma County Sheriff's Office,14.0,33.0,2.357142857142857
AZ0140500,Yuma Police Department,40.0,63.0,1.575
CO0010000,Adams County Sheriff's Office,83.0,173.0,2.0843373493975905
CO0010100,Aurora Police Department,393.0,852.0,2.16793893129771
CO0010300,Commerce City Police Department,47.0,109.0,2.3191489361702127
CO0010400,Thornton Police Department,16.0,23.0,1.4375
CO0010500,Westminster Police Department,45.0,72.0,1.6
CO0030000,Arapahoe County Sheriff's Office,15.0,47.0,3.1333333333333333
CO0031100,Centennial Police Department,13.0,26.0,2.0
CO0070000,Boulder County Sheriff's Office,18.0,18.0,1.0
CO0070100,Boulder Police Department,24.0,29.0,1.2083333333333333
CO0070400,Longmont Police Department,60.0,75.0,1.25
CO0180000,Douglas County Sheriff's Office,45.0,63.0,1.4
CO0180100,Castle Rock Police Department,0.0,0.0,
CO0180500,Parker Police Department,9.0,11.0,1.2222222222222223
CO0210000,El Paso County Sheriff's Office,87.0,127.0,1.4597701149425288
CO0210100,Colorado Springs Police Department,474.0,583.0,1.229957805907173
CO0300000,Jefferson County Sheriff's Office,15.0,55.0,3.6666666666666665
CO0300100,Arvada Police Department,37.0,60.0,1.6216216216216217
CO0300400,Lakewood Police Department,15.0,150.0,10.0
CO0350000,Larimer County Sheriff's Office,26.0,26.0,1.0
CO0350300,Fort Collins Police Department,29.0,31.0,1.0689655172413792
CO0350400,Loveland Police Department,22.0,29.0,1.3181818181818181
CO0390000,Mesa County Sheriff's Office,17.0,33.0,1.9411764705882353
CO0390100,Grand Junction Police Department,42.0,56.0,1.3333333333333333
CO0510000,Pueblo County Sheriff's Office,8.0,7.0,0.875
CO0510100,Pueblo Police Department,125.0,369.0,2.952
CO0620000,Weld County Sheriff's Office,27.0,27.0,1.0
CO0620200,Greeley Police Department,48.0,98.0,2.0416666666666665
CO0640100,Broomfield Police Department,2.0,3.0,1.5
CODPD0000,Denver Police Department,717.0,1166.0,1.6262203626220362
CT0001500,Bridgeport Police Department,116.0,101.0,0.8706896551724138
CT0001700,Bristol Police Department,2.0,2.0,1.0
CT0003400,Danbury Police Department,3.0,2.0,0.6666666666666666
CT0005100,Fairfield Police Department,2.0,1.0,0.5
CT0005700,Greenwich Police Department,0.0,0.0,
CT0006200,Hamden Police Department,9.0,11.0,1.2222222222222223
CT0009300,New Haven Police Department,163.0,169.0,1.0368098159509203
CT0010300,Norwalk Police Department,8.0,1.0,0.125
CT0013500,Stamford Police Department,3.0,20.0,6.666666666666667
CT0013800,Stratford Police Department,6.0,7.0,1.1666666666666667
CT0015100,Waterbury Police Department,32.0,37.0,1.15625
CT0015500,West Hartford Police Department,1.0,1.0,1.0
CT0015600,West Haven Police Department,2.0,6.0,3.0
CTCSP0000,Connecticut State Police,10.0,15.0,1.5
DE0020300,New Castle County Police Department,136.0,169.0,1.2426470588235294
DE0020600,Wilmington Police Department,190.0,248.0,1.305263157894737
DE301SP00,State Police: Kent County,51.0,44.0,0.8627450980392157
DE303SP00,State Police: Sussex County,52.0,84.0,1.6153846153846154
GA0380000,Coweta County Sheriff's Office,33.0,42.0,1.2727272727272727
