ori,,inc
AR0040100,Bentonville Police Department,0
AR0040200,Rogers Police Department,0
AR0160100,Jonesboro Police Department,1
AR0230100,Conway Police Department,1
AR0260000,Garland County Sheriff's Office,1
AR0600200,Little Rock Police Department,1
AR0600300,North Little Rock Police Department,1
AR0630000,Saline County Sheriff's Office,1
AR0660100,Fort Smith Police Department,1
AR0720100,Fayetteville Police Department,1
AR0720200,Springdale Police Department,0
AZ0071100,Gilbert Police Department,1
AZ0110100,Casa Grande Police Department,1
AZ0140000,Yuma County Sheriff's Office,1
AZ0140500,Yuma Police Department,1
CO0010000,Adams County Sheriff's Office,1
CO0010100,Aurora Police Department,1
CO0010300,Commerce City Police Department,1
CO0010400,Thornton Police Department,1
CO0010500,Westminster Police Department,1
CO0030000,Arapahoe County Sheriff's Office,1
CO0031100,Centennial Police Department,1
CO0070000,Boulder County Sheriff's Office,0
CO0070100,Boulder Police Department,1
CO0070400,Longmont Police Department,1
CO0180000,Douglas County Sheriff's Office,1
CO0180100,Castle Rock Police Department,0
CO0180500,Parker Police Department,1
CO0210000,El Paso County Sheriff's Office,1
CO0210100,Colorado Springs Police Department,1
CO0300000,Jefferson County Sheriff's Office,1
CO0300100,Arvada Police Department,1
CO0300400,Lakewood Police Department,1
CO0350000,Larimer County Sheriff's Office,0
CO0350300,Fort Collins Police Department,1
CO0350400,Loveland Police Department,1
CO0390000,Mesa County Sheriff's Office,1
CO0390100,Grand Junction Police Department,1
CO0510000,Pueblo County Sheriff's Office,0
CO0510100,Pueblo Police Department,1
CO0620000,Weld County Sheriff's Office,0
CO0620200,Greeley Police Department,1
CO0640100,Broomfield Police Department,1
CODPD0000,Denver Police Department,1
CT0001500,Bridgeport Police Department,0
CT0001700,Bristol Police Department,0
CT0003400,Danbury Police Department,0
CT0005100,Fairfield Police Department,0
CT0005700,Greenwich Police Department,0
CT0006200,Hamden Police Department,1
CT0009300,New Haven Police Department,1
CT0010300,Norwalk Police Department,0
CT0013500,Stamford Police Department,1
CT0013800,Stratford Police Department,1
CT0015100,Waterbury Police Department,1
CT0015500,West Hartford Police Department,0
CT0015600,West Haven Police Department,1
CTCSP0000,Connecticut State Police,1
DE0020300,New Castle County Police Department,1
DE0020600,Wilmington Police Department,1
DE301SP00,State Police: Kent County,0
DE303SP00,State Police: Sussex County,1
GA0380000,Coweta County Sheriff's Office,1
GA0605600,Sandy Springs Police Department,1
GA0690000,Hall County Sheriff's Office,1
GA1070000,Newton County Sheriff's Office,1
GA1100000,Paulding County Sheriff's Office,1
HI0020000,Honolulu Police Department,0
IA0070300,Waterloo Police Department,1
IA0310100,Dubuque Police Department,1
IA0520200,Iowa City Police Department,1
IA0570100,Cedar Rapids Police Department,1
IA0770000,Polk County Sheriff's Office,0
IA0770100,Ankeny Police Department,0
IA0770300,Des Moines Police Department,0
IA0770500,West Des Moines Police Department,0
IA0780100,Council Bluffs Police Department,0
IA0820200,Davenport Police Department,1
IA0850100,Ames Police Department,0
IA0970100,Sioux City Police Department,1
ID0010000,Ada County Sheriff's Office,1
ID0010100,Boise Police Department,1
ID0010300,Meridian Police Department,1
ID0030200,Pocatello Police Department,0
ID0100000,Bonneville County Sheriff's Office,1
ID0100200,Idaho Falls Police Department,1
ID0140000,Canyon County Sheriff's Office,1
ID0140200,Nampa Police Department,1
ID0280000,Kootenai County Sheriff's Office,0
ID0280100,Coeur d'Alene Police Department,1
ID0420200,Twin Falls Police Department,1
IL1010400,Rockford Police Department,1
